Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,PEDOT:PSS_n,PEDOT:PSS_k,PM6L8BO_n,PM6L8BO_k,PDINN_n,PDINN_k,Air_n,Air_k
347,1.51768,0,2.09686,0.01383,1.559855882,9.69E-04,1.633467825,0.255370044,1.682755906,0.08113479,1,0
348,1.51761,0,2.0938,0.01308,1.559473529,9.88E-04,1.632843791,0.255967484,1.683358293,0.081845615,1,0
349,1.51755,0,2.09075,0.01236,1.559091176,0.001006471,1.632219757,0.256564923,1.68396068,0.082556441,1,0
350,1.51749,0,2.08773,0.01168,1.558708824,0.001024958,1.631583791,0.257179651,1.684680357,0.083265987,1,0
351,1.51743,0,2.08483,0.01105,1.558326471,0.001043445,1.630943821,0.257800179,1.685439382,0.083975105,1,0
352,1.51737,0,2.08197,0.01044,1.557944118,0.001061933,1.630303852,0.258420707,1.686198406,0.084684222,1,0
353,1.51731,0,2.07915,0.00988,1.557561765,0.00108042,1.629663882,0.259041235,1.68695743,0.08539334,1,0
354,1.51725,0,2.07638,0.00934,1.557179412,0.001098908,1.629023913,0.259661763,1.687716455,0.086102457,1,0
355,1.51719,0,2.07363,0.00883,1.556797059,0.001116111,1.628370866,0.26030111,1.688618262,0.086784412,1,0
356,1.51713,0,2.07092,0.00836,1.556414706,0.001131389,1.627713679,0.260946416,1.689565281,0.087457767,1,0
357,1.51707,0,2.06825,0.00791,1.556094118,0.001146667,1.627056491,0.261591721,1.690512301,0.088131121,1,0
358,1.51701,0,2.06563,0.00748,1.5558,0.001161944,1.626399304,0.262237027,1.691459321,0.088804475,1,0
359,1.51695,0,2.0631,0.00709,1.555505882,0.001177222,1.625742117,0.262882333,1.692406341,0.089477829,1,0
360,1.51688,0,2.0606,0.00671,1.555211765,0.0011925,1.625073587,0.263544637,1.693489482,0.09009572,1,0
361,1.51682,0,2.05808,0.00636,1.554917647,0.001207778,1.624398267,0.264217119,1.69465412,0.090680405,1,0
362,1.51676,0,2.05561,0.00603,1.554623529,0.001223056,1.623722947,0.264889601,1.695818759,0.09126509,1,0
363,1.5167,0,2.05318,0.00572,1.554329412,0.001238333,1.623047626,0.265562083,1.696983398,0.091849774,1,0
364,1.51664,0,2.0508,0.00543,1.554035294,0.001253611,1.622372306,0.266234565,1.698148037,0.092434459,1,0
365,1.51658,0,2.04845,0.00515,1.553741176,0.001268889,1.621690325,0.26691724,1.699392729,0.092962055,1,0
366,1.51651,0,2.04612,0.00489,1.553447059,0.001284167,1.62099545,0.267619649,1.700792402,0.093379127,1,0
367,1.51645,0,2.04386,0.00465,1.553145455,0.001299444,1.620300574,0.268322058,1.702192075,0.0937962,1,0
368,1.51639,0,2.04162,0.00442,1.552836364,0.001314722,1.619605698,0.269024467,1.703591747,0.094213272,1,0
369,1.51633,0,2.03943,0.00421,1.552527273,0.00133,1.618910823,0.269726875,1.70499142,0.094630344,1,0
370,1.51627,0,2.03728,0.00401,1.552218182,0.001346912,1.618215947,0.270429284,1.706391093,0.095047417,1,0
371,1.51621,0,2.03516,0.00382,1.551909091,0.001363824,1.617502591,0.271161023,1.70799127,0.095219379,1,0
372,1.51616,0,2.03302,0.00364,1.5516,0.001380735,1.616787133,0.271896097,1.709614246,0.095363469,1,0
373,1.5161,0,2.03091,0.00348,1.551290909,0.001397647,1.616071675,0.27263117,1.711237222,0.095507559,1,0
374,1.51604,0,2.02885,0.00332,1.550981818,0.001414559,1.615356218,0.273366244,1.712860198,0.095651649,1,0
375,1.51598,0,2.02684,0.00318,1.550672727,0.001431471,1.61464076,0.274101318,1.714483174,0.095795739,1,0
376,1.51593,0,2.02484,0.00304,1.550363636,0.001448382,1.613918845,0.274846899,1.716151805,0.095825326,1,0
377,1.51587,0,2.02282,0.00291,1.550054545,0.001465294,1.613181141,0.275618166,1.717932051,0.095574984,1,0
378,1.51581,0,2.02086,0.00279,1.549770968,0.001482206,1.612443438,0.276389433,1.719712297,0.095324642,1,0
379,1.51576,0,2.01893,0.00268,1.549512903,0.001499118,1.611705734,0.2771607,1.721492543,0.095074301,1,0
380,1.5157,0,2.01705,0.00258,1.549254839,0.001516029,1.610968031,0.277931967,1.723272789,0.094823959,1,0
381,1.51564,0,2.0152,0.00248,1.548996774,0.001532941,1.610230327,0.278703233,1.725053036,0.094573617,1,0
382,1.51559,0,2.01339,0.00239,1.54873871,0.001549853,1.60948041,0.279495011,1.726842124,0.094068487,1,0
383,1.51553,0,2.01157,0.00231,1.548480645,0.001566929,1.608718767,0.280306479,1.728639702,0.093318755,1,0
384,1.51547,0,2.00975,0.00223,1.548222581,0.001584252,1.607957124,0.281117948,1.730437279,0.092569024,1,0
385,1.51542,0,2.00794,0.00215,1.547964516,0.001601575,1.607195482,0.281929416,1.732234857,0.091819292,1,0
386,1.51536,0,2.00616,0.00208,1.547706452,0.001618898,1.606433839,0.282740884,1.734032434,0.091069561,1,0
387,1.51532,0,2.00442,0.00202,1.547445098,0.00163622,1.605672196,0.283552352,1.735830012,0.090319829,1,0
388,1.51527,0,2.00273,0.00196,1.547170588,0.001653543,1.604896627,0.284388429,1.737521184,0.089277428,1,0
389,1.51522,0,2.00104,0.00191,1.546896078,0.001670866,1.604109635,0.285244689,1.739125086,0.087994989,1,0
390,1.51517,0,1.99934,0.00185,1.546621569,0.001688189,1.603322643,0.28610095,1.740728989,0.08671255,1,0
391,1.51512,0,1.99765,0.00181,1.546347059,0.001705512,1.602535651,0.28695721,1.742332891,0.085430111,1,0
392,1.51507,0,1.99598,0.00176,1.546072549,0.001722835,1.601748659,0.28781347,1.743936794,0.084147672,1,0
393,1.51502,0,1.99435,0.00172,1.545798039,0.001740157,1.600961667,0.28866973,1.745540696,0.082865233,1,0
394,1.51497,0,1.99272,0.00169,1.545523529,0.00175748,1.600163737,0.289545878,1.746975851,0.081405657,1,0
395,1.51492,0,1.99109,0.00165,1.54524902,0.001774803,1.599349359,0.290451933,1.748157251,0.07967971,1,0
396,1.51487,0,1.98953,0.00162,1.54497451,0.001804063,1.59853498,0.291357989,1.749338651,0.077953763,1,0
397,1.51482,0,1.98797,0.00159,1.5447,0.001838438,1.597720602,0.292264044,1.750520051,0.076227817,1,0
398,1.51477,0,1.9864,0.00156,1.54442549,0.001872813,1.596906224,0.293170099,1.751701451,0.07450187,1,0
399,1.51472,0,1.9849,0.00154,1.54415098,0.001907188,1.596091845,0.294076154,1.752882851,0.072775923,1,0
400,1.51467,0,1.98339,0.00151,1.543876471,0.001941563,1.595275969,0.294985083,1.754034655,0.071038186,1,0
401,1.51462,0,1.98188,0.00149,1.543601961,0.001975938,1.594432226,0.295947486,1.754635738,0.069081044,1,0
402,1.51457,0,1.98038,0.00148,1.543327451,0.002010313,1.593588483,0.29690989,1.755236821,0.067123902,1,0
403,1.51452,0,1.97889,0.00146,1.543089063,0.002044688,1.592744741,0.297872294,1.755837904,0.06516676,1,0
404,1.51448,0,1.97745,0.00144,1.542854688,0.002079063,1.591900998,0.298834697,1.756438987,0.063209619,1,0
