Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,PEDOT:PSS_n,PEDOT:PSS_k,PDINN_n,PDINN_k,Air_n,Air_k,PM6L8BOOFIB_n,PM6L8BOOFIB_k
373,1.5161,0,2.03091,0.00348,1.551290909,0.001397647,1.711237222,0.095507559,1,0,1.450732193,0.388447331
374,1.51604,0,2.02885,0.00332,1.550981818,0.001414559,1.712860198,0.095651649,1,0,1.450096627,0.389173489
375,1.51598,0,2.02684,0.00318,1.550672727,0.001431471,1.714483174,0.095795739,1,0,1.449461061,0.389899646
376,1.51593,0,2.02484,0.00304,1.550363636,0.001448382,1.716151805,0.095825326,1,0,1.44881935,0.39063468
377,1.51587,0,2.02282,0.00291,1.550054545,0.001465294,1.717932051,0.095574984,1,0,1.448162613,0.391391414
378,1.51581,0,2.02086,0.00279,1.549770968,0.001482206,1.719712297,0.095324642,1,0,1.447505877,0.392148149
379,1.51576,0,2.01893,0.00268,1.549512903,0.001499118,1.721492543,0.095074301,1,0,1.446849141,0.392904883
380,1.5157,0,2.01705,0.00258,1.549254839,0.001516029,1.723272789,0.094823959,1,0,1.446192405,0.393661617
381,1.51564,0,2.0152,0.00248,1.548996774,0.001532941,1.725053036,0.094573617,1,0,1.445535669,0.394418352
382,1.51559,0,2.01339,0.00239,1.54873871,0.001549853,1.726842124,0.094068487,1,0,1.44486735,0.395192226
383,1.51553,0,2.01157,0.00231,1.548480645,0.001566929,1.728639702,0.093318755,1,0,1.444187911,0.395982557
384,1.51547,0,2.00975,0.00223,1.548222581,0.001584252,1.730437279,0.092569024,1,0,1.443508472,0.396772887
385,1.51542,0,2.00794,0.00215,1.547964516,0.001601575,1.732234857,0.091819292,1,0,1.442829033,0.397563217
386,1.51536,0,2.00616,0.00208,1.547706452,0.001618898,1.734032434,0.091069561,1,0,1.442149594,0.398353547
387,1.51532,0,2.00442,0.00202,1.547445098,0.00163622,1.735830012,0.090319829,1,0,1.441470155,0.399143877
388,1.51527,0,2.00273,0.00196,1.547170588,0.001653543,1.737521184,0.089277428,1,0,1.440777008,0.399954617
389,1.51522,0,2.00104,0.00191,1.546896078,0.001670866,1.739125086,0.087994989,1,0,1.440072618,0.400782097
390,1.51517,0,1.99934,0.00185,1.546621569,0.001688189,1.740728989,0.08671255,1,0,1.439368228,0.401609577
391,1.51512,0,1.99765,0.00181,1.546347059,0.001705512,1.742332891,0.085430111,1,0,1.438663837,0.402437056
392,1.51507,0,1.99598,0.00176,1.546072549,0.001722835,1.743936794,0.084147672,1,0,1.437959447,0.403264536
393,1.51502,0,1.99435,0.00172,1.545798039,0.001740157,1.745540696,0.082865233,1,0,1.437255057,0.404092016
394,1.51497,0,1.99272,0.00169,1.545523529,0.00175748,1.746975851,0.081405657,1,0,1.43653983,0.404936094
395,1.51492,0,1.99109,0.00165,1.54524902,0.001774803,1.748157251,0.07967971,1,0,1.435808307,0.405805132
396,1.51487,0,1.98953,0.00162,1.54497451,0.001804063,1.749338651,0.077953763,1,0,1.435076784,0.406674169
397,1.51482,0,1.98797,0.00159,1.5447,0.001838438,1.750520051,0.076227817,1,0,1.434345261,0.407543207
398,1.51477,0,1.9864,0.00156,1.54442549,0.001872813,1.751701451,0.07450187,1,0,1.433613738,0.408412245
399,1.51472,0,1.9849,0.00154,1.54415098,0.001907188,1.752882851,0.072775923,1,0,1.432882215,0.409281283
400,1.51467,0,1.98339,0.00151,1.543876471,0.001941563,1.754034655,0.071038186,1,0,1.432149177,0.41015271
401,1.51462,0,1.98188,0.00149,1.543601961,0.001975938,1.754635738,0.069081044,1,0,1.431387948,0.411068595
402,1.51457,0,1.98038,0.00148,1.543327451,0.002010313,1.755236821,0.067123902,1,0,1.430626719,0.41198448
403,1.51452,0,1.97889,0.00146,1.543089063,0.002044688,1.755837904,0.06516676,1,0,1.429865489,0.412900365
404,1.51448,0,1.97745,0.00144,1.542854688,0.002079063,1.756438987,0.063209619,1,0,1.42910426,0.41381625
405,1.51443,0,1.97598,0.00143,1.542620313,0.002113438,1.75704007,0.061252477,1,0,1.428343031,0.414732135
406,1.51438,0,1.97448,0.00142,1.542385938,0.002147813,1.757641153,0.059295335,1,0,1.427581801,0.41564802
407,1.51433,0,1.97308,0.00141,1.542151563,0.002182188,1.757946825,0.057353436,1,0,1.426804325,0.416590019
408,1.51428,0,1.97168,0.0014,1.541917188,0.002216563,1.757950515,0.055427117,1,0,1.426010241,0.417558713
409,1.51423,0,1.97025,0.00139,1.541682813,0.002243294,1.757954205,0.053500799,1,0,1.425216157,0.418527408
410,1.51419,0,1.96885,0.00138,1.541448438,0.002269176,1.757957895,0.05157448,1,0,1.424422073,0.419496102
411,1.51414,0,1.96748,0.00138,1.541214063,0.002295059,1.757961585,0.049648162,1,0,1.423627988,0.420464796
412,1.51409,0,1.96609,0.00137,1.540979688,0.002320941,1.757965275,0.047721843,1,0,1.422833904,0.42143349
413,1.51404,0,1.96471,0.00137,1.540745313,0.002346824,1.757968965,0.045795525,1,0,1.42203982,0.422402184
414,1.51399,0,1.96334,0.00136,1.540510938,0.002372706,1.757625233,0.04404395,1,0,1.421219896,0.423414063
415,1.51394,0,1.96202,0.00136,1.540276378,0.002398588,1.75714599,0.042360533,1,0,1.420389894,0.424442787
416,1.5139,0,1.96071,0.00136,1.540040157,0.002424471,1.756666747,0.040677116,1,0,1.419559892,0.42547151
417,1.51385,0,1.95939,0.00136,1.539803937,0.002450353,1.756187504,0.038993698,1,0,1.41872989,0.426500233
418,1.5138,0,1.95808,0.00136,1.539567717,0.002476235,1.755708262,0.037310281,1,0,1.417899887,0.427528956
419,1.51375,0,1.95676,0.00136,1.539331496,0.002502118,1.755229019,0.035626864,1,0,1.417069885,0.428557679
420,1.5137,0,1.95544,0.00136,1.539095276,0.002528,1.754749776,0.033943447,1,0,1.416239883,0.429586402
421,1.51365,0,1.95416,0.00136,1.538859055,0.002553882,1.754052073,0.032509582,1,0,1.415381523,0.430664489
422,1.51361,0,1.95291,0.00137,1.538622835,0.002579765,1.753267121,0.031175384,1,0,1.414511838,0.431762291
423,1.51356,0,1.95161,0.00137,1.538386614,0.002605647,1.752482168,0.029841186,1,0,1.413642153,0.432860092
424,1.51351,0,1.95031,0.00137,1.538150394,0.002631529,1.751697216,0.028506988,1,0,1.412772467,0.433957894
425,1.51347,0,1.94905,0.00138,1.537914173,0.002657412,1.750912264,0.027172789,1,0,1.411902782,0.435055696
426,1.51342,0,1.9478,0.00138,1.537677953,0.002691452,1.750127311,0.025838591,1,0,1.411033097,0.436153497
427,1.51338,0,1.94655,0.00139,1.537441732,0.002726398,1.749342359,0.024504393,1,0,1.410163412,0.437251299
428,1.51333,0,1.9453,0.00139,1.537219328,0.002761344,1.748492138,0.023337601,1,0,1.409273133,0.438386426
429,1.51328,0,1.94408,0.0014,1.537017647,0.00279629,1.747567812,0.022360879,1,0,1.408359473,0.439563932
430,1.51324,0,1.94288,0.00141,1.536815966,0.002831237,1.746643486,0.021384157,1,0,1.407445812,0.440741438
431,1.51319,0,1.94164,0.00141,1.536614286,0.002866183,1.74571916,0.020407436,1,0,1.406532152,0.441918943
432,1.51315,0,1.94041,0.00142,1.536412605,0.002901129,1.744794834,0.019430714,1,0,1.405618492,0.443096449
433,1.5131,0,1.93922,0.00143,1.536210924,0.002936075,1.743870508,0.018453992,1,0,1.404704832,0.444273955
434,1.51306,0,1.93803,0.00143,1.536009244,0.002971022,1.742946182,0.01747727,1,0,1.403791171,0.445451461
435,1.51301,0,1.93684,0.00144,1.535807563,0.003005968,1.742021856,0.016500548,1,0,1.402877511,0.446628967
436,1.51297,0,1.93565,0.00145,1.535605882,0.003040914,1.741078288,0.015822239,1,0,1.401916848,0.447896867
437,1.51292,0,1.93446,0.00146,1.535404202,0.00307586,1.740134078,0.01515389,1,0,1.400954617,0.449167786
438,1.51287,0,1.93327,0.00147,1.535202521,0.003110806,1.739189868,0.014485542,1,0,1.399992385,0.450438704
439,1.51283,0,1.93214,0.00147,1.53500084,0.003145753,1.738245658,0.013817193,1,0,1.399030154,0.451709622
440,1.51278,0,1.93099,0.00148,1.534797638,0.003180699,1.737301449,0.013148844,1,0,1.398067922,0.45298054
441,1.51274,0,1.9298,0.00149,1.534592913,0.003215645,1.736357239,0.012480495,1,0,1.39710569,0.454251458
442,1.51269,0,1.92866,0.0015,1.534388189,0.003250591,1.735413029,0.011812147,1,0,1.396143459,0.455522376
443,1.51265,0,1.92752,0.00151,1.534183465,0.003285538,1.73447869,0.01119162,1,0,1.395170479,0.456815251
444,1.5126,0,1.92633,0.00152,1.53397874,0.003320102,1.733584007,0.010763221,1,0,1.39415432,0.458196339
445,1.51256,0,1.92518,0.00153,1.533774016,0.003353776,1.732689325,0.010334821,1,0,1.39313816,0.459577426
446,1.51252,0,1.92406,0.00154,1.533569291,0.003387449,1.731794642,0.009906422,1,0,1.392122,0.460958514
447,1.51248,0,1.92292,0.00155,1.533364567,0.003421122,1.730899959,0.009478023,1,0,1.391105841,0.462339602
448,1.51244,0,1.9218,0.00156,1.533159843,0.003454796,1.730005277,0.009049623,1,0,1.390089681,0.46372069
449,1.5124,0,1.92067,0.00157,1.532955118,0.003488469,1.729110594,0.008621224,1,0,1.389073521,0.465101778
450,1.51236,0,1.91954,0.00159,1.532750394,0.003522143,1.728215912,0.008192825,1,0,1.388057362,0.466482866
451,1.51232,0,1.91843,0.0016,1.532545669,0.003555816,1.727333276,0.007790389,1,0,1.387032368,0.467883526
452,1.51228,0,1.91737,0.00161,1.532340945,0.00358949,1.726519776,0.007536949,1,0,1.385956684,0.469396503
453,1.51224,0,1.91627,0.00162,1.532145378,0.003623163,1.725706275,0.007283508,1,0,1.384880999,0.470909481
454,1.5122,0,1.91513,0.00163,1.531952101,0.003656837,1.724892774,0.007030068,1,0,1.383805314,0.472422458
